Regions	H3K4me3.bam	
scaffold_1:176893005-176903005	0.0;0.0;0.0;0.0;1.0;1.0;1.0;2.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;2.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;3.0;3.0;4.0;8.0;7.0;5.0;5.0;12.0;15.0;22.0;13.0;3.0;3.0;1.0;0.0;2.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;3.0;1.0;0.0;0.0;0.0;1.0;2.0;0.0;1.0;0.0;2.0;0.0;1.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0	
scaffold_1:177417202-177427202	1.0;0.0;2.0;1.0;1.0;0.0;1.0;3.0;4.0;2.0;2.0;2.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;3.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;2.0;2.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;6.0;7.0;4.0;8.0;8.0;7.0;4.0;4.0;3.0;5.0;4.0;5.0;1.0;6.0;3.0;0.0;3.0;2.0;3.0;3.0;1.0;3.0;5.0;4.0;4.0;3.0;1.0;1.0;2.0;6.0;3.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;2.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2.0;2.0;3.0	
scaffold_1:177743819-177753819	1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;2.0;2.0;0.0;3.0;1.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;2.0;2.0;1.0;1.0;2.0;2.0;3.0;3.0;1.0;1.0;0.0;2.0;2.0;3.0;2.0;7.0;9.0;9.0;10.0;12.0;26.0;21.0;10.0;6.0;9.0;14.0;6.0;5.0;6.0;6.0;5.0;7.0;5.0;1.0;1.0;1.0;0.0;2.0;4.0;3.0;1.0;5.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;2.0;3.0;2.0;0.0;2.0;0.0;1.0;3.0;1.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0	
scaffold_1:178058176-178068176	0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;2.0;3.0;1.0;0.0;8.0;7.0;17.0;9.0;4.0;5.0;3.0;6.0;2.0;3.0;2.0;1.0;2.0;7.0;7.0;2.0;5.0;4.0;4.0;2.0;4.0;2.0;2.0;3.0;3.0;2.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;2.0;1.0;2.0;2.0;1.0;2.0;2.0;2.0;2.0;0.0;0.0;1.0;1.0;1.0;0.0	
scaffold_1:178546495-178556495	1.0;1.0;2.0;2.0;2.0;2.0;1.0;0.0;0.0;1.0;1.0;2.0;0.0;1.0;0.0;2.0;2.0;1.0;0.0;0.0;2.0;3.0;3.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;4.0;2.0;1.0;0.0;0.0;2.0;2.0;2.0;8.0;12.0;15.0;21.0;18.0;26.0;25.0;30.0;16.0;7.0;2.0;0.0;0.0;0.0;0.0;1.0;0.0;4.0;4.0;2.0;2.0;1.0;0.0;1.0;2.0;3.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;2.0;2.0;1.0;0.0;0.0;2.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;2.0	
scaffold_1:178609177-178619177	0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;2.0;1.0;2.0;3.0;6.0;14.0;6.0;1.0;2.0;8.0;10.0;16.0;26.0;34.0;34.0;20.0;14.0;5.0;4.0;10.0;11.0;13.0;10.0;11.0;5.0;6.0;6.0;6.0;4.0;1.0;4.0;7.0;3.0;2.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;2.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;2.0;0.0;0.0;1.0;2.0;3.0;1.0;1.0;2.0;2.0;3.0;2.0;1.0	
scaffold_1:178805921-178815921	0.0;0.0;2.0;3.0;0.0;4.0;1.0;1.0;3.0;2.0;2.0;0.0;0.0;0.0;0.0;2.0;1.0;0.0;1.0;0.0;0.0;0.0;4.0;2.0;3.0;3.0;1.0;0.0;0.0;0.0;2.0;4.0;0.0;1.0;7.0;11.0;30.0;50.0;53.0;65.0;70.0;61.0;65.0;66.0;97.0;88.0;65.0;33.0;43.0;37.0;35.0;28.0;24.0;15.0;21.0;26.0;19.0;10.0;9.0;8.0;9.0;5.0;4.0;3.0;3.0;6.0;5.0;0.0;2.0;1.0;1.0;2.0;4.0;1.0;1.0;0.0;0.0;1.0;3.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;2.0;3.0;2.0;0.0;0.0;1.0;2.0;1.0;1.0;2.0	
scaffold_1:178813443-178823443	0.0;0.0;3.0;3.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;2.0;2.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;2.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;4.0;5.0;9.0;14.0;29.0;15.0;29.0;57.0;48.0;52.0;42.0;28.0;32.0;32.0;22.0;10.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;2.0;2.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;1.0;2.0;1.0;2.0;2.0;1.0;2.0;2.0;2.0	
scaffold_1:178832036-178842036	2.0;0.0;1.0;2.0;1.0;3.0;3.0;1.0;1.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;2.0;3.0;0.0;2.0;2.0;0.0;0.0;0.0;1.0;5.0;6.0;6.0;14.0;18.0;20.0;29.0;35.0;30.0;21.0;34.0;37.0;65.0;80.0;94.0;112.0;129.0;131.0;131.0;114.0;90.0;81.0;59.0;36.0;10.0;17.0;43.0;72.0;79.0;66.0;52.0;35.0;27.0;22.0;11.0;5.0;4.0;6.0;1.0;2.0;4.0;7.0;4.0;3.0;3.0;2.0;4.0;5.0;1.0;1.0;2.0;2.0;3.0;0.0;0.0;0.0;0.0;2.0;1.0;1.0;4.0;4.0;3.0;1.0;2.0;2.0;2.0;2.0;0.0;0.0;1.0;2.0;2.0;1.0	
scaffold_1:178916484-178926484	1.0;1.0;0.0;0.0;2.0;0.0;2.0;3.0;0.0;4.0;4.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;2.0;3.0;2.0;2.0;1.0;1.0;5.0;9.0;16.0;22.0;11.0;11.0;23.0;20.0;18.0;11.0;9.0;3.0;3.0;1.0;0.0;1.0;0.0;0.0;2.0;2.0;1.0;2.0;2.0;0.0;0.0;2.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;2.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0	
scaffold_1:178969134-178979134	0.0;1.0;0.0;0.0;2.0;1.0;1.0;0.0;0.0;0.0;0.0;2.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;2.0;2.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;2.0;2.0;0.0;2.0;3.0;3.0;3.0;4.0;10.0;17.0;14.0;11.0;11.0;5.0;2.0;4.0;4.0;4.0;4.0;3.0;2.0;3.0;4.0;0.0;0.0;1.0;1.0;0.0;0.0;2.0;2.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;2.0;1.0;0.0;1.0;1.0;0.0;2.0;1.0;3.0;0.0;0.0;2.0	
scaffold_1:178990138-179000138	0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;4.0;3.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;2.0;2.0;1.0;3.0;2.0;2.0;8.0;7.0;12.0;11.0;10.0;5.0;9.0;7.0;13.0;12.0;9.0;9.0;5.0;5.0;6.0;4.0;3.0;2.0;1.0;5.0;2.0;2.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;5.0;2.0;2.0;2.0;1.0;2.0;2.0;3.0;2.0;2.0;2.0;0.0;0.0;0.0;0.0;1.0;0.0;3.0;0.0;1.0;1.0;2.0;1.0;0.0;1.0;1.0;1.0;2.0;0.0	
scaffold_1:179012977-179022977	1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;2.0;6.0;5.0;7.0;9.0;12.0;15.0;25.0;22.0;13.0;27.0;33.0;32.0;32.0;35.0;29.0;38.0;23.0;19.0;21.0;13.0;11.0;10.0;14.0;11.0;8.0;5.0;2.0;1.0;0.0;0.0;2.0;2.0;1.0;3.0;0.0;2.0;1.0;1.0;1.0;2.0;2.0;1.0;2.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0	
scaffold_1:179147623-179157623	0.0;0.0;0.0;3.0;1.0;3.0;2.0;1.0;2.0;1.0;1.0;1.0;2.0;1.0;1.0;1.0;1.0;2.0;1.0;2.0;3.0;3.0;2.0;2.0;3.0;4.0;0.0;1.0;5.0;2.0;0.0;2.0;2.0;2.0;2.0;6.0;3.0;5.0;7.0;5.0;1.0;2.0;0.0;3.0;5.0;9.0;9.0;19.0;29.0;30.0;23.0;16.0;17.0;21.0;19.0;13.0;17.0;19.0;18.0;16.0;11.0;8.0;7.0;8.0;4.0;3.0;1.0;2.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;3.0;3.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0	
scaffold_1:179181874-179191874	1.0;0.0;1.0;3.0;1.0;1.0;0.0;1.0;3.0;3.0;3.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;2.0;2.0;2.0;1.0;0.0;0.0;0.0;0.0;2.0;0.0;1.0;3.0;2.0;1.0;1.0;4.0;1.0;1.0;1.0;2.0;2.0;3.0;5.0;7.0;17.0;24.0;27.0;30.0;28.0;55.0;57.0;70.0;60.0;46.0;31.0;26.0;27.0;29.0;18.0;15.0;13.0;4.0;1.0;3.0;0.0;1.0;2.0;2.0;3.0;2.0;3.0;3.0;0.0;2.0;1.0;0.0;0.0;1.0;0.0;3.0;2.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;2.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0	
scaffold_1:179242547-179252547	0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;2.0;1.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;3.0;1.0;0.0;0.0;2.0;2.0;1.0;1.0;2.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;2.0;10.0;8.0;9.0;19.0;22.0;18.0;10.0;6.0;2.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;4.0;5.0;2.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;2.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;2.0;1.0;2.0;1.0;0.0;0.0;2.0;1.0;0.0;1.0;1.0	
scaffold_1:179289762-179299762	3.0;1.0;2.0;1.0;5.0;4.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;2.0;1.0;1.0;0.0;0.0;1.0;3.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;3.0;2.0;2.0;0.0;0.0;13.0;15.0;22.0;43.0;27.0;28.0;15.0;10.0;6.0;4.0;7.0;4.0;7.0;5.0;4.0;2.0;1.0;2.0;3.0;1.0;1.0;1.0;2.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;2.0;3.0;0.0;0.0;1.0;2.0;4.0;2.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;2.0;3.0;0.0;1.0;2.0;2.0;3.0;0.0	
scaffold_1:179333584-179343584	1.0;2.0;4.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;2.0;0.0;3.0;1.0;1.0;2.0;1.0;0.0;2.0;0.0;0.0;1.0;0.0;0.0;2.0;2.0;0.0;2.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;2.0;1.0;0.0;3.0;2.0;3.0;5.0;7.0;14.0;14.0;25.0;22.0;23.0;16.0;14.0;12.0;7.0;6.0;10.0;5.0;5.0;2.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;3.0;2.0;0.0;1.0;0.0;0.0;0.0;3.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0	
scaffold_1:179421972-179431972	0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;2.0;1.0;2.0;1.0;0.0;0.0;2.0;0.0;1.0;1.0;1.0;2.0;4.0;2.0;2.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;2.0;0.0;2.0;3.0;2.0;1.0;1.0;3.0;0.0;0.0;0.0;1.0;3.0;9.0;13.0;33.0;44.0;56.0;49.0;34.0;21.0;16.0;27.0;10.0;5.0;3.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;3.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;3.0;3.0;2.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0	
scaffold_1:179444531-179454531	0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;2.0;1.0;1.0;2.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;3.0;3.0;1.0;2.0;2.0;4.0;14.0;14.0;23.0;26.0;33.0;30.0;38.0;44.0;35.0;27.0;26.0;21.0;20.0;7.0;10.0;2.0;3.0;5.0;8.0;2.0;3.0;3.0;2.0;0.0;0.0;2.0;1.0;2.0;0.0;0.0;1.0;2.0;3.0;2.0;4.0;2.0;5.0;2.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;3.0;1.0;2.0;0.0;1.0;2.0;0.0;1.0;2.0;1.0;1.0;1.0	
scaffold_1:179527252-179537252	3.0;3.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;3.0;1.0;1.0;1.0;0.0;3.0;4.0;1.0;0.0;0.0;0.0;1.0;2.0;1.0;1.0;0.0;1.0;1.0;0.0;2.0;3.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;2.0;0.0;6.0;5.0;15.0;12.0;12.0;12.0;12.0;17.0;8.0;13.0;4.0;9.0;6.0;3.0;3.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;6.0;1.0;3.0;1.0;6.0;4.0;12.0;18.0;14.0;23.0;14.0;9.0;9.0;21.0;39.0;40.0;31.0;8.0;5.0;8.0;8.0;6.0;6.0;2.0;2.0;1.0;3.0;2.0;2.0;1.0;0.0	
scaffold_1:179530512-179540512	1.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;2.0;0.0;5.0;7.0;12.0;15.0;13.0;9.0;11.0;14.0;11.0;10.0;8.0;7.0;10.0;4.0;3.0;2.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;5.0;4.0;2.0;2.0;3.0;7.0;8.0;21.0;17.0;20.0;20.0;11.0;6.0;14.0;25.0;36.0;38.0;19.0;5.0;8.0;4.0;6.0;7.0;3.0;2.0;1.0;3.0;4.0;1.0;3.0;1.0;1.0;1.0;1.0;2.0;1.0;1.0;0.0;2.0;0.0;0.0;1.0;2.0;0.0;1.0;1.0;2.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;2.0;2.0;0.0;1.0;0.0;2.0;2.0;0.0;0.0;1.0	
scaffold_1:179545218-179555218	3.0;1.0;2.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;2.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;2.0;3.0;2.0;1.0;1.0;0.0;0.0;3.0;1.0;1.0;1.0;1.0;1.0;10.0;13.0;19.0;18.0;14.0;25.0;18.0;14.0;6.0;6.0;2.0;1.0;0.0;1.0;1.0;1.0;1.0;3.0;4.0;3.0;2.0;2.0;5.0;2.0;0.0;1.0;2.0;0.0;0.0;0.0;1.0;2.0;4.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;2.0;0.0;0.0;1.0;0.0;1.0;2.0;1.0;0.0;1.0	
scaffold_1:179910823-179920823	0.0;1.0;1.0;1.0;1.0;3.0;3.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;5.0;1.0;1.0;2.0;0.0;4.0;11.0;16.0;17.0;15.0;19.0;18.0;16.0;8.0;9.0;7.0;4.0;2.0;1.0;2.0;3.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;2.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;3.0;1.0;1.0;1.0;0.0;1.0;3.0;3.0;2.0;1.0;1.0;1.0;1.0;2.0;0.0;0.0;0.0	
scaffold_1:179941010-179951010	0.0;0.0;3.0;1.0;2.0;2.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;2.0;3.0;2.0;1.0;3.0;3.0;2.0;1.0;2.0;2.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;6.0;5.0;5.0;20.0;16.0;13.0;24.0;21.0;19.0;12.0;4.0;13.0;8.0;1.0;0.0;0.0;1.0;0.0;1.0;2.0;3.0;3.0;1.0;0.0;1.0;0.0;0.0;1.0;2.0;1.0;2.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;4.0;2.0;3.0;1.0;1.0;1.0;0.0;0.0;0.0;2.0;1.0;0.0;0.0;1.0;1.0;0.0	
scaffold_1:180348312-180358312	0.0;2.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;4.0;4.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;2.0;0.0;1.0;0.0;1.0;1.0;1.0;5.0;7.0;1.0;1.0;3.0;4.0;6.0;4.0;10.0;15.0;13.0;15.0;16.0;20.0;25.0;28.0;35.0;43.0;52.0;58.0;46.0;58.0;73.0;75.0;61.0;40.0;25.0;9.0;3.0;2.0;2.0;1.0;0.0;0.0;1.0;7.0;6.0;1.0;0.0;2.0;4.0;5.0;5.0;2.0;8.0;3.0;4.0;1.0;1.0;1.0;0.0;3.0;1.0;1.0;0.0;1.0;4.0;1.0;2.0;1.0;0.0;2.0;2.0;2.0;0.0;0.0;1.0	
scaffold_1:180372473-180382473	1.0;1.0;1.0;2.0;2.0;1.0;2.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;2.0;2.0;2.0;1.0;2.0;1.0;0.0;2.0;2.0;2.0;1.0;1.0;1.0;2.0;1.0;0.0;1.0;1.0;3.0;1.0;2.0;1.0;0.0;3.0;2.0;3.0;1.0;4.0;3.0;5.0;5.0;6.0;6.0;7.0;3.0;2.0;4.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;3.0;2.0;0.0;3.0;2.0;2.0;1.0;1.0;0.0;1.0;0.0;2.0;1.0;2.0;1.0;0.0;3.0;1.0;0.0;0.0;0.0	
scaffold_1:181149389-181159389	0.0;1.0;2.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;2.0;3.0;1.0;0.0;0.0;5.0;11.0;12.0;17.0;12.0;24.0;31.0;30.0;29.0;19.0;15.0;4.0;8.0;2.0;2.0;3.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;2.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;2.0;0.0;1.0;2.0;2.0;1.0;1.0;1.0;3.0;1.0;1.0;2.0;1.0;1.0;1.0;1.0	
scaffold_1:181162284-181172284	0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;2.0;1.0;3.0;6.0;8.0;18.0;20.0;27.0;38.0;33.0;19.0;14.0;4.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;3.0;1.0;0.0;1.0;1.0;2.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;2.0;2.0;2.0;2.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0	
scaffold_1:181215631-181225631	0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;2.0;1.0;2.0;0.0;1.0;2.0;1.0;0.0;2.0;3.0;1.0;0.0;0.0;2.0;3.0;1.0;1.0;0.0;1.0;0.0;0.0;2.0;1.0;2.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;2.0;1.0;3.0;6.0;4.0;6.0;7.0;5.0;10.0;7.0;4.0;2.0;1.0;0.0;0.0;0.0;0.0;2.0;2.0;3.0;1.0;1.0;0.0;1.0;0.0;1.0;2.0;0.0;0.0;0.0;0.0;2.0;3.0;3.0;1.0;1.0;1.0;1.0;1.0;2.0;3.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;4.0;7.0	
scaffold_1:181220927-181230927	7.0;4.0;2.0;1.0;0.0;0.0;0.0;0.0;2.0;2.0;3.0;1.0;1.0;0.0;1.0;0.0;1.0;2.0;0.0;0.0;0.0;0.0;2.0;3.0;3.0;1.0;1.0;1.0;1.0;1.0;2.0;3.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;4.0;8.0;11.0;22.0;18.0;16.0;12.0;10.0;5.0;4.0;1.0;0.0;2.0;0.0;1.0;0.0;1.0;2.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;2.0;1.0;2.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0	
scaffold_1:181514997-181524997	0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;2.0;0.0;2.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;4.0;2.0;0.0;0.0;0.0;1.0;1.0;2.0;0.0;0.0;0.0;2.0;7.0;4.0;11.0;17.0;13.0;13.0;12.0;8.0;0.0;3.0;4.0;0.0;1.0;1.0;2.0;1.0;0.0;1.0;3.0;2.0;2.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;2.0;2.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;2.0	
scaffold_1:181573447-181583447	0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;1.0;0.0;1.0;1.0;1.0;0.0;2.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;2.0;7.0;32.0;31.0;43.0;36.0;38.0;47.0;47.0;43.0;33.0;21.0;20.0;5.0;5.0;0.0;3.0;0.0;2.0;2.0;2.0;3.0;0.0;0.0;1.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;2.0;0.0;1.0;0.0;0.0;1.0;1.0;2.0;2.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0	
